,dataset,mode,size,channels,auc,class,f1,run
210,pokemon,test,4,192.0,,12,,2
211,pokemon,test,4,192.0,0.5238095238095237,13,,2
212,pokemon,test,4,192.0,,14,,2
213,pokemon,test,4,192.0,0.7333333333333334,15,,2
214,pokemon,test,4,192.0,,16,,2
215,pokemon,test,4,192.0,0.3035714285714285,17,,2
216,pokemon,train,4,768.0,0.4802721088435374,0,,0
217,pokemon,train,4,768.0,0.5201581027667984,1,,0
218,pokemon,train,4,768.0,0.35170454545454544,2,,0
219,pokemon,train,4,768.0,0.5897435897435896,3,,0
220,pokemon,train,4,768.0,0.6301136363636364,4,,0
221,pokemon,train,4,768.0,0.39834710743801655,5,,0
222,pokemon,train,4,768.0,0.5155172413793103,6,,0
223,pokemon,train,4,768.0,0.6396551724137931,7,,0
224,pokemon,train,4,768.0,0.3340163934426229,8,,0
225,pokemon,train,4,768.0,0.5557312252964427,9,,0
226,pokemon,train,4,768.0,0.6820175438596492,10,,0
227,pokemon,train,4,768.0,0.5201581027667984,11,,0
228,pokemon,train,4,768.0,0.6206482593037215,12,,0
229,pokemon,train,4,768.0,0.5455508474576272,13,,0
230,pokemon,train,4,768.0,0.610655737704918,14,,0
231,pokemon,train,4,768.0,0.7177865612648222,15,,0
232,pokemon,train,4,768.0,0.6264462809917355,16,,0
233,pokemon,train,4,768.0,0.5714285714285714,17,,0
234,pokemon,train,4,768.0,0.4702947845804989,0,,1
235,pokemon,train,4,768.0,0.4403162055335969,1,,1
236,pokemon,train,4,768.0,0.6164772727272727,2,,1
237,pokemon,train,4,768.0,0.5023741690408356,3,,1
238,pokemon,train,4,768.0,0.6840909090909091,4,,1
239,pokemon,train,4,768.0,0.6033057851239669,5,,1
240,pokemon,train,4,768.0,0.5267241379310345,6,,1
241,pokemon,train,4,768.0,0.5129310344827587,7,,1
242,pokemon,train,4,768.0,0.3504098360655737,8,,1
243,pokemon,train,4,768.0,0.4316205533596838,9,,1
244,pokemon,train,4,768.0,0.5752923976608186,10,,1
245,pokemon,train,4,768.0,0.5106719367588932,11,,1
246,pokemon,train,4,768.0,0.5402160864345738,12,,1
247,pokemon,train,4,768.0,0.5741525423728813,13,,1
248,pokemon,train,4,768.0,0.34426229508196715,14,,1
249,pokemon,train,4,768.0,0.44268774703557306,15,,1
250,pokemon,train,4,768.0,0.6231404958677687,16,,1
251,pokemon,train,4,768.0,0.5127551020408163,17,,1
252,pokemon,train,4,768.0,0.3986394557823129,0,,2
253,pokemon,train,4,768.0,0.5304347826086956,1,,2
254,pokemon,train,4,768.0,0.6028409090909089,2,,2
255,pokemon,train,4,768.0,0.5308641975308641,3,,2
256,pokemon,train,4,768.0,0.5346590909090909,4,,2
257,pokemon,train,4,768.0,0.6892561983471075,5,,2
258,pokemon,train,4,768.0,0.5077586206896552,6,,2
259,pokemon,train,4,768.0,0.4836206896551724,7,,2
260,pokemon,train,4,768.0,0.4651639344262295,8,,2
261,pokemon,train,4,768.0,0.5960474308300395,9,,2
262,pokemon,train,4,768.0,0.4378654970760234,10,,2
263,pokemon,train,4,768.0,0.4600790513833992,11,,2
264,pokemon,train,4,768.0,0.5210084033613445,12,,2
265,pokemon,train,4,768.0,0.475635593220339,13,,2
266,pokemon,train,4,768.0,0.5860655737704918,14,,2
267,pokemon,train,4,768.0,0.5691699604743083,15,,2
268,pokemon,train,4,768.0,0.5669421487603307,16,,2
269,pokemon,train,4,768.0,0.6332908163265306,17,,2
270,pokemon,test,4,768.0,,0,,0
271,pokemon,test,4,768.0,0.7068965517241379,1,,0
272,pokemon,test,4,768.0,0.5897435897435898,2,,0
273,pokemon,test,4,768.0,0.2738095238095238,3,,0
274,pokemon,test,4,768.0,0.5923076923076923,4,,0
